text,favorite_count,date_creation,retweet_count
@WholeMarsBlog Looks like V11.3 will be ready for wide release in about 2 weeks. Many major improvements.,1162,2023-01-07,153
@TrungTPhan !,672,2023-01-07,42
@MuskUniversity Happy days tbh,4361,2023-01-07,166
@paulg True,1577,2023-01-07,86
Thread on how safe Tesla cars are https://t.co/M3Hf3q4kh3,17449,2023-01-07,1973
@paulg People on Twitter should like more tweets in general!,23500,2023-01-07,872
@BillyM2k @KevinChunilal Nice,2047,2023-01-07,121
@WholeMarsBlog @ValerianIlies People still don’t get it,5481,2023-01-07,413
@_TheRealTony3_ @MercedesBenz @Tesla @SawyerMerritt Good for them,16521,2023-01-07,535
"@RichardGarriott Tanks are a deathtrap now. With neither side having air superiority, you’re left with infantry &amp; artillery – essentially WW1.",13537,2023-01-07,846
@BillyM2k 🤣,33372,2023-01-07,923
@TheRabbitHole84 An actual Jurassic Park would be awesome,14344,2023-01-06,661
(JCO was joking btw),58285,2023-01-06,1732
8 years later &amp; still no laws … 😢 https://t.co/9fjb24XvFG,354310,2023-01-06,27054
@TheBabylonBee 🤣,37533,2023-01-06,1162
@pmarca Twitter has at least 10 million Wokeys,37084,2023-01-06,2309
@hodgetwins Looking into it,45624,2023-01-06,1779
@laralogan This demands an explanation,11044,2023-01-06,1425
"@HowThingsWork_ The Drone Wars are already a big deal, but we ain’t seen nothing yet …",39810,2023-01-06,2161
"If I dig my grave deep enough, maybe it comes out other side of Earth 🤔",310499,2023-01-05,19349
@RenataKonkoly Great advice! 🤣🤣,7751,2023-01-05,291
Some habits are hard to break lol.  Maybe I should just get bulletproof shoes … https://t.co/8Ve7it6X0T,90039,2023-01-05,5660
@lrocket Hi Tom!,14842,2023-01-05,425
@Hitch_Slapping @DrJBhattacharya True,12292,2023-01-05,512
Ouch my feet!! https://t.co/4pqBY6rZDu,80563,2023-01-05,4535
@cb_doge @MrAndyNgo @josephmenn @ExplainThisBob Will do. He is a good bot.,4246,2023-01-05,234
@MrAndyNgo @josephmenn Joseph Menn is a contemptible liar. Twitter policy has always been to suspend accounts that clearly &amp; repeatedly incite violence.,24695,2023-01-05,2322
@jonastyle_ Journalists should do shots every time there is a negative article about me …,50290,2023-01-05,2518
Elon Musk should,128433,2023-01-05,10120
"Subtle, but I am beginning to suspect opinions differ on this matter …

If not McCarthy, then seriously who?",58144,2023-01-05,3570
@ChrisJBakke 🤣,5919,2023-01-05,149
Sped up trip there &amp; back again https://t.co/h9z4vt7kER,148272,2023-01-05,15191
@tomselliott 🤣🤣,12295,2023-01-05,495
"@heliobeltrao @Rconstantino @rothbard_brasil If it is ordered by the court, do we have any choice?",3592,2023-01-05,303
Kevin McCarthy should be Speaker,161646,2023-01-05,11702
@pmarca 🤦‍♂️,7351,2023-01-05,316
@MuskUniversity Necessary to make life multiplanetary,25483,2023-01-05,1496
@pmarca It’s a new world. Goodbye homework!,75593,2023-01-05,4192
@CathieDWood Wow,25648,2023-01-05,1036
"@Basti Public likes &amp; non-public likes (aka bookmarks) should both be included in like count. 

Bookmark button should be on main tweet view.",10314,2023-01-05,521
@GadSaad True.,34979,2023-01-05,1594
@mtaibbi Interesting,15172,2023-01-04,1170
@NASASpaceflight Seems like our image recognition needs some work! https://t.co/oaHQYku4Av,29649,2023-01-04,1112
@Liz_Wheeler Certainly worth further investigation,96893,2023-01-04,7141
"12 months ago, I was Person of the Year",719357,2023-01-04,43034
@ShellenbergerMD What has become of @60Minutes?,72138,2023-01-04,5739
@TheBabylonBee 🤣🤣,31288,2023-01-04,1051
Please comment on this matter https://t.co/Oip43FcVo2,52342,2023-01-04,7180
@DriveTeslaca @Tesla Good news,38439,2023-01-04,1333
"US govt agency demanded suspension of 250k accounts, including journalists &amp; Canadian officials! https://t.co/kcEMMCzF7d",146616,2023-01-03,43125
"@sparklingruby If you leave out contact information &amp; names of junior employees, then yes",18494,2023-01-03,1049
@jordanbpeterson @CPOntario Please live-stream this on Twitter Spaces,40799,2023-01-03,3169
@waitbutwhy Would be worth it to see the video lulz,10487,2023-01-03,434
https://t.co/dJvUeO2P5t,418175,2023-01-03,60912
"@mtaibbi Hey @RepAdamSchiff, what’s this?",67632,2023-01-03,14105
@MarioFratto @jordanbpeterson @CPOntario @PierrePoilievre @JustinTrudeau Sounds like it,11176,2023-01-03,624
Another episode of The Twitter Files https://t.co/vYpYivK7hv,105560,2023-01-03,22848
@jordanbpeterson That is extremely concerning!,52323,2023-01-03,3773
@ShellenbergerMD Ehrlich is mad as a hatter. He is someone who regards humanity as bad in and of itself – anti-human to the core.,15750,2023-01-03,2206
@teslaownersSV @DrKnowItAll16 @Tesla @POTUS @UAW Correct,5500,2023-01-03,364
@mikeduncan Feels like we are at an inflection point,19163,2023-01-03,994
@jordanbpeterson @CPOntario @PierrePoilievre @JustinTrudeau !!,44465,2023-01-03,2879
@farzyness Messed up!,43106,2023-01-03,1806
@SciGuySpace Shelby did his best to hold back SpaceX,5769,2023-01-03,440
@DrKnowItAll16 @Tesla Penalized for making our SUV too mass-efficient? That is bizarre.,57627,2023-01-03,2885
@BillyM2k maybe … maybe we do? 🤔,48535,2023-01-03,1779
@jgebbia But how do they earn a profit? Volume.,3436,2023-01-03,190
@JackPosobiec Looking into it,46613,2023-01-03,1953
@jgebbia Bank branches &amp; ATMs too,3626,2023-01-03,342
@ShellenbergerMD @ScottPelley @PaulREhrlich Absolutely,26574,2023-01-02,1530
@AlexEpstein @ScottAdamsSays @60Minutes @ShellenbergerMD @BjornLomborg @BrianGitt @HumanProgress @RitaPanahi @jordanbpeterson Ehrlich despises humanity. Nothing he says should be given the slightest credibility.,74949,2023-01-02,7836
@jordanbpeterson His “Population Bomb” book might the most damaging anti-human thing ever written,69311,2023-01-02,6751
@stillgray Mostly accurate tbh,63323,2023-01-02,2805
@libsoftiktok 🧐,35866,2023-01-02,1663
@pmarca 🤣🤣,38180,2023-01-02,1257
"@willdepue lol, but maybe",6229,2023-01-02,264
@gdb Yikes,11875,2023-01-01,440
@atensnut Later this week,48056,2023-01-01,4407
@TheRabbitHole84 Concerning,33716,2023-01-01,2083
@TomFitton @CDCgov The CDC?,29665,2023-01-01,2951
@catturd2 Hey!,87436,2023-01-01,2227
@stillgray Nice,17372,2023-01-01,524
@farzyness @MartinViecha @Sen_JoeManchin @POTUS This is messed up,46190,2023-01-01,2493
@AOC 👋,20961,2023-01-01,642
"@jordanbpeterson Not sure, but after watching some of his talks online, he would not be an obvious choice to play the protagonist in a movie",38298,2023-01-01,2557
@alifarhat79 🤷‍♂️,103157,2023-01-01,2097
@lexfridman Good list,22492,2023-01-01,677
@BriannaWu Thanks for paying me $8,105867,2023-01-01,4640
"@grizzzmint @TheRabbitHole84 Which is, ironically, obviously super racist!",8433,2023-01-01,539
@cb_doge @mayemusk 🤣,27551,2023-01-01,666
@robinmonotti !!,36413,2023-01-01,2694
"Hope you’re having a great day 1 2023!

One thing’s for sure, it won’t be boring.",613306,2023-01-01,45393
"@WholeMarsBlog Agreed, update coming in Jan",20281,2022-12-31,813
@jpr007 I’d like to thank the people of Norway again for their incredible support of electric vehicles. Norway rocks!! 🇳🇴,52373,2022-12-31,2084
"@ScottAdamsSays @Mediaite Yeah, this is silly. I love your work!",22003,2022-12-31,995
"@TimRunsHisMouth @ZaleskiLuke Exactly! I am obviously “moderate wing”, except as viewed by the far left.",25000,2022-12-31,1570
@pmarca Piketty is a misanthrope,18658,2022-12-31,1011
